MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241231,36039,Greene County,NY,0.00,100.00,61.30,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20241224,36039,Greene County,NY,0.00,100.00,87.69,0.00,0.00,0.00,2024-12-24,2024-12-30,1
20241217,36039,Greene County,NY,0.00,100.00,87.69,0.00,0.00,0.00,2024-12-17,2024-12-23,1
20241210,36039,Greene County,NY,0.00,100.00,100.00,83.27,0.00,0.00,2024-12-10,2024-12-16,1
20241203,36039,Greene County,NY,0.00,100.00,100.00,83.27,0.00,0.00,2024-12-03,2024-12-09,1
20241126,36039,Greene County,NY,0.00,100.00,100.00,83.27,0.00,0.00,2024-11-26,2024-12-02,1
20241119,36039,Greene County,NY,0.00,100.00,100.00,83.27,0.00,0.00,2024-11-19,2024-11-25,1
20241112,36039,Greene County,NY,0.00,100.00,100.00,67.48,0.00,0.00,2024-11-12,2024-11-18,1
20241105,36039,Greene County,NY,0.00,100.00,100.00,0.00,0.00,0.00,2024-11-05,2024-11-11,1
20241029,36039,Greene County,NY,0.00,100.00,0.00,0.00,0.00,0.00,2024-10-29,2024-11-04,1
20241022,36039,Greene County,NY,0.00,100.00,0.00,0.00,0.00,0.00,2024-10-22,2024-10-28,1
20241015,36039,Greene County,NY,0.00,100.00,0.00,0.00,0.00,0.00,2024-10-15,2024-10-21,1
20241008,36039,Greene County,NY,0.00,100.00,0.00,0.00,0.00,0.00,2024-10-08,2024-10-14,1
20241001,36039,Greene County,NY,34.46,65.54,0.00,0.00,0.00,0.00,2024-10-01,2024-10-07,1
20240924,36039,Greene County,NY,40.64,59.36,0.00,0.00,0.00,0.00,2024-09-24,2024-09-30,1
20240917,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-17,2024-09-23,1
20240910,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-10,2024-09-16,1
20240903,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-03,2024-09-09,1
20240827,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-27,2024-09-02,1
20240820,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-20,2024-08-26,1
20240813,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-13,2024-08-19,1
20240806,36039,Greene County,NY,25.95,74.05,0.00,0.00,0.00,0.00,2024-08-06,2024-08-12,1
20240730,36039,Greene County,NY,25.95,74.05,0.00,0.00,0.00,0.00,2024-07-30,2024-08-05,1
20240723,36039,Greene County,NY,23.92,76.08,0.00,0.00,0.00,0.00,2024-07-23,2024-07-29,1
20240716,36039,Greene County,NY,23.92,76.08,0.00,0.00,0.00,0.00,2024-07-16,2024-07-22,1
20240709,36039,Greene County,NY,23.92,76.08,0.00,0.00,0.00,0.00,2024-07-09,2024-07-15,1
20240702,36039,Greene County,NY,23.92,76.08,0.00,0.00,0.00,0.00,2024-07-02,2024-07-08,1
20240625,36039,Greene County,NY,23.92,76.08,0.00,0.00,0.00,0.00,2024-06-25,2024-07-01,1
20240618,36039,Greene County,NY,20.33,79.67,0.00,0.00,0.00,0.00,2024-06-18,2024-06-24,1
20240611,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-11,2024-06-17,1
20240604,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-04,2024-06-10,1
20240528,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-28,2024-06-03,1
20240521,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-21,2024-05-27,1
20240514,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-14,2024-05-20,1
20240507,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-07,2024-05-13,1
20240430,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-30,2024-05-06,1
20240423,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-23,2024-04-29,1
20240416,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-16,2024-04-22,1
20240409,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-09,2024-04-15,1
20240402,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-02,2024-04-08,1
20240326,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-26,2024-04-01,1
20240319,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-19,2024-03-25,1
20240312,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-12,2024-03-18,1
20240305,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-05,2024-03-11,1
20240227,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-27,2024-03-04,1
20240220,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-20,2024-02-26,1
20240213,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-13,2024-02-19,1
20240206,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-06,2024-02-12,1
20240130,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-30,2024-02-05,1
20240123,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-23,2024-01-29,1
20240116,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-16,2024-01-22,1
20240109,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-09,2024-01-15,1
20240102,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-02,2024-01-08,1
20231226,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2023-12-26,2024-01-01,1
20231219,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2023-12-19,2023-12-25,1
20231212,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2023-12-12,2023-12-18,1
20231205,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2023-12-05,2023-12-11,1
20231128,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2023-11-28,2023-12-04,1
20231121,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2023-11-21,2023-11-27,1
20231114,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2023-11-14,2023-11-20,1
20231107,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2023-11-07,2023-11-13,1
20231031,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2023-10-31,2023-11-06,1
20231024,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2023-10-24,2023-10-30,1
20231017,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2023-10-17,2023-10-23,1
20231010,36039,Greene County,NY,100.00,0.00,0.00,0.00,0.00,0.00,2023-10-10,2023-10-16,1
